#Time px py pz qx qy qz qw
1560025108.69333124 21.782934188842773 21.456344604492188 0.0 0.0 0.0 -0.13589537314775885 0.9907231942157363
1560025108.71825218 21.781949996948242 21.45433235168457 0.0 0.0 0.0 -0.13551625126734898 0.9907751236493801
1560025108.74319315 21.784236907958984 21.453887939453125 0.0 0.0 0.0 -0.13600946013870394 0.9907075384556122
1560025108.76820326 21.784330368041992 21.45454978942871 0.0 0.0 0.0 -0.13562656479221627 0.9907600289286316
1560025108.79316616 21.776580810546875 21.45423698425293 0.0 0.0 0.0 -0.13538798310799185 0.9907926594550195
1560025108.81808615 21.777109146118164 21.456586837768555 0.0 0.0 0.0 -0.13580939335500278 0.990734984078258
1560025108.84307122 21.780858993530273 21.45435905456543 0.0 0.0 0.0 -0.135574124739435 0.9907672061090518
1560025108.86801314 21.784807205200195 21.453155517578125 0.0 0.0 0.0 -0.13599670516091644 0.9907092894413448
1560025108.89301229 21.784740447998047 21.45447540283203 0.0 0.0 0.0 -0.13587151621991997 0.9907264663266547
1560025108.91794634 21.785058975219727 21.452743530273438 0.0 0.0 0.0 -0.13563247017976524 0.9907592205137105
1560025108.94291615 21.777828216552734 21.454774856567383 0.0 0.0 0.0 -0.13590104210912404 0.9907224165999545
1560025108.96788621 21.779443740844727 21.455142974853516 0.0 0.0 0.0 -0.13583466774091488 0.9907315191512358
1560025108.99285126 21.782489776611328 21.454111099243164 0.0 0.0 0.0 -0.13580277948241587 0.9907358906816943
1560025109.01778436 21.782548904418945 21.453834533691406 0.0 0.0 0.0 -0.13593127649458425 0.9907182687679444
1560025109.04280519 21.77759552001953 21.453876495361328 0.0 0.0 0.0 -0.1355445975155448 0.990771246092835
1560025109.06776929 21.77869987487793 21.451549530029297 0.0 0.0 0.0 -0.13511702983433577 0.9908296464320933
1560025109.09265733 21.78437042236328 21.454631805419922 0.0 0.0 0.0 -0.1357531752451243 0.9907426888001075
1560025109.11765432 21.779399871826172 21.455942153930664 0.0 0.0 0.0 -0.1359263161744 0.9907189493349045
1560025109.14262533 21.78761100769043 21.45179557800293 0.0 0.0 0.0 -0.13585332821210372 0.9907289605203304
1560025109.16763926 21.7847900390625 21.454729080200195 0.0 0.0 0.0 -0.13587057138947267 0.9907265959033795
