1403637154338319104,0.67770,-0.54960,0.34315,-0.02283,0.82858,-0.01632,0.55916,0.30118,-0.23368,-0.16577,
1403637154438318848,0.69979,-0.55706,0.31105,-0.01653,0.82587,-0.01319,0.56346,0.33832,-0.27624,-0.16676,
1403637154538319104,0.72903,-0.58145,0.28854,-0.00870,0.82120,-0.00928,0.57050,0.35469,-0.31826,-0.17589,
1403637154638319104,0.76180,-0.61332,0.27084,0.00139,0.82147,-0.00518,0.57023,0.37189,-0.32775,-0.16121,
1403637154738318848,0.78455,-0.63431,0.24967,0.01262,0.82579,-0.00280,0.56383,0.38347,-0.32016,-0.15281,
1403637154838319104,0.82079,-0.66727,0.23617,0.02127,0.82951,-0.01054,0.55799,0.40820,-0.31636,-0.12677,
1403637154938318848,0.86626,-0.70131,0.22736,0.02700,0.83182,-0.02040,0.55401,0.47290,-0.31089,-0.08361,
1403637155038319104,0.91857,-0.73549,0.22503,0.03178,0.83041,-0.03073,0.55540,0.52692,-0.29622,0.01937,
1403637155138319104,0.97081,-0.76239,0.23420,0.03813,0.82535,-0.04452,0.56158,0.57152,-0.27901,0.09341,
1403637155238318848,1.02043,-0.78602,0.25141,0.04392,0.82018,-0.05467,0.56780,0.57632,-0.25653,0.17119,
1403637155338319104,1.07353,-0.81025,0.27277,0.04792,0.81549,-0.06070,0.57359,0.59201,-0.25699,0.19045,
1403637155438318848,1.12976,-0.83460,0.29068,0.05347,0.81116,-0.07140,0.57798,0.58211,-0.27031,0.12203,
1403637155538319104,1.18829,-0.86328,0.30307,0.06036,0.80725,-0.08594,0.58078,0.55902,-0.26561,0.03715,
1403637155638319104,1.24691,-0.89223,0.30732,0.06196,0.80523,-0.10079,0.58105,0.55109,-0.26810,-0.03035,
1403637155738318848,1.30402,-0.92164,0.30433,0.06383,0.80388,-0.11477,0.58012,0.51232,-0.28730,-0.08409,
1403637155838319104,1.33444,-0.94373,0.29373,0.06846,0.80144,-0.13233,0.57921,0.47383,-0.32691,-0.13724,
1403637155938318848,1.37463,-0.97680,0.27773,0.08016,0.80173,-0.15081,0.57277,0.43398,-0.37146,-0.18705,
1403637156038319104,1.42129,-1.01810,0.26077,0.09280,0.79735,-0.17121,0.57124,0.41201,-0.40731,-0.18342,
1403637156138319104,1.46569,-1.06299,0.24446,0.10404,0.79014,-0.19340,0.57224,0.36391,-0.44985,-0.17440,
1403637156238318848,1.50630,-1.11274,0.22803,0.11614,0.78271,-0.21730,0.57154,0.33280,-0.50178,-0.16098,
1403637156338319104,1.53844,-1.16637,0.21246,0.12983,0.77549,-0.24123,0.56883,0.27085,-0.54205,-0.14516,
1403637156438318848,1.56331,-1.22396,0.19699,0.14534,0.76852,-0.26466,0.56410,0.20969,-0.58776,-0.14384,
1403637156538319104,1.58009,-1.28372,0.18055,0.16185,0.75956,-0.28677,0.56093,0.14214,-0.61792,-0.17108,
1403637156638319104,1.59050,-1.34591,0.16189,0.17948,0.75106,-0.30704,0.55626,0.07391,-0.64905,-0.20144,
1403637156738318848,1.59947,-1.41421,0.13874,0.19757,0.74294,-0.32507,0.55076,0.01931,-0.66943,-0.26603,
1403637156838319104,1.60179,-1.48407,0.10993,0.21335,0.74093,-0.33700,0.54032,-0.02499,-0.68091,-0.31719,
1403637156938318848,1.59796,-1.55131,0.07698,0.22481,0.74194,-0.34362,0.53001,-0.05241,-0.68096,-0.35773,
1403637157038319104,1.59529,-1.62043,0.03807,0.22945,0.74397,-0.34820,0.52214,-0.05056,-0.67226,-0.41436,
1403637157138319104,1.59611,-1.69236,-0.00346,0.22760,0.74452,-0.35215,0.51950,-0.02563,-0.70259,-0.37930,
1403637157238318848,1.60179,-1.76983,-0.03988,0.22374,0.74424,-0.35402,0.52031,-0.01783,-0.74157,-0.31229,
1403637157338319104,1.60401,-1.84703,-0.06756,0.21844,0.74346,-0.35478,0.52314,-0.01478,-0.78236,-0.23186,
1403637157438318848,1.61078,-1.93567,-0.08593,0.20890,0.74258,-0.35722,0.52663,-0.01435,-0.84070,-0.13113,
1403637157538319104,1.61017,-2.02151,-0.09577,0.20061,0.74246,-0.35783,0.52960,-0.05476,-0.88477,-0.06092,
1403637157638319104,1.60494,-2.11307,-0.09822,0.19619,0.74327,-0.35592,0.53140,-0.09598,-0.95378,0.01339,
1403637157738318848,1.60025,-2.21915,-0.09207,0.19275,0.74457,-0.35391,0.53218,-0.12956,-1.02879,0.09324,
1403637157838319104,1.58858,-2.32548,-0.08288,0.19709,0.74241,-0.34821,0.53734,-0.17439,-1.08830,0.09002,
1403637157938318848,1.57143,-2.43669,-0.07780,0.20287,0.74039,-0.34284,0.54141,-0.21232,-1.12858,0.02838,
1403637158038319104,1.55370,-2.55412,-0.07714,0.21051,0.74087,-0.33618,0.54202,-0.24953,-1.15031,-0.00151,
