#Time px py pz qx qy qz qw
1560004885.41595984 21.37725067138672 21.123981475830078 0.0 0.0 0.0 -0.2997584541778879 0.954015130461191
1560004885.44099879 21.37940216064453 21.128952026367188 0.0 0.0 0.0 -0.30020832668341807 0.9538736607066692
1560004885.46593380 21.380041122436523 21.125879287719727 0.0 0.0 0.0 -0.29990265717960557 0.9539698088601191
1560004885.49091077 21.38235855102539 21.12677001953125 0.0 0.0 0.0 -0.30015329025267073 0.9538909803276766
1560004885.51598287 21.38323211669922 21.127302169799805 0.0 0.0 0.0 -0.3004084507329217 0.9538106534990295
1560004885.54094172 21.3802490234375 21.12136459350586 0.0 0.0 0.0 -0.30021242026230444 0.9538723723435171
1560004885.56586480 21.382648468017578 21.118267059326172 0.0 0.0 0.0 -0.30014851431693357 0.9538924831202611
1560004885.59084773 21.38196563720703 21.116220474243164 0.0 0.0 0.0 -0.29989583384814417 0.9539719539066788
1560004885.61583877 21.384498596191406 21.118696212768555 0.0 0.0 0.0 -0.3001512434239904 0.9538916243845693
1560004885.64092469 21.382165908813477 21.12132453918457 0.0 0.0 0.0 -0.30055489677167596 0.9537645170725149
1560004885.66591763 21.384166717529297 21.117109298706055 0.0 0.0 0.0 -0.30086072783161755 0.9536680881987345
1560004885.69080281 21.383214950561523 21.115419387817383 0.0 0.0 0.0 -0.3012663325924643 0.9535400342126632
1560004885.71585965 21.38129997253418 21.11159324645996 0.0 0.0 0.0 -0.30091279561479956 0.9536516604270585
1560004885.74081063 21.382232666015625 21.11495590209961 0.0 0.0 0.0 -0.3013236221470151 0.9535219319639181
1560004885.76580667 21.388153076171875 21.116313934326172 0.0 0.0 0.0 -0.3020235125767832 0.9533004761620449
1560004885.79081273 21.38473129272461 21.116640090942383 0.0 0.0 0.0 -0.302369874278667 0.9531906730181025
1560004885.81583667 21.385417938232422 21.114810943603516 0.0 0.0 0.0 -0.30214328914764177 0.9532625204124227
1560004885.84084463 21.385639190673828 21.11808967590332 0.0 0.0 0.0 -0.3028793443130625 0.9530289097338491
1560004885.86582470 21.384523391723633 21.11003303527832 0.0 0.0 0.0 -0.30198964698901387 0.9533112047550112
1560004885.89072585 21.387310028076172 21.11361312866211 0.0 0.0 0.0 -0.30256303767926745 0.9531293764386314
1560004885.91586065 21.38467788696289 21.116886138916016 0.0 0.0 0.0 -0.30248054706439975 0.9531555584728136
1560004885.94076085 21.380781173706055 21.114248275756836 0.0 0.0 0.0 -0.30201214832807427 0.953304076495145
1560004885.96574473 21.38819694519043 21.116561889648438 0.0 0.0 0.0 -0.3023978269276489 0.9531818054649572
1560004885.99069977 21.388151168823242 21.117311477661133 0.0 0.0 0.0 -0.30236510184919385 0.9531921869086667
1560004886.01573586 21.383623123168945 21.113677978515625 0.0 0.0 0.0 -0.3017755349236014 0.9533790046574208
1560004886.04068470 21.390548706054688 21.116985321044922 0.0 0.0 0.0 -0.3029272873072739 0.9530136717826543
1560004886.06570268 21.386451721191406 21.117794036865234 0.0 0.0 0.0 -0.30303703070641236 0.9529787815164831
1560004886.09065366 21.384016036987305 21.112634658813477 0.0 0.0 0.0 -0.30195919036311575 0.9533208522607964
1560004886.11574578 21.386268615722656 21.119853973388672 0.0 0.0 0.0 -0.30252054279701573 0.9531428650447943
1560004886.14071178 21.38479995727539 21.115524291992188 0.0 0.0 0.0 -0.3020562413732561 0.9532901064458087
1560004886.16564083 21.382755279541016 21.11654281616211 0.0 0.0 0.0 -0.3017466672702779 0.9533881417299462
1560004886.19061065 21.376310348510742 21.10835075378418 0.0 0.0 0.0 -0.3007822834081957 0.9536928320941456
1560004886.21565270 21.388647079467773 21.12012481689453 0.0 0.0 0.0 -0.30251736133778456 0.9531438748107363
1560004886.24060273 21.388757705688477 21.117719650268555 0.0 0.0 0.0 -0.3024662302806621 0.9531601017351731
1560004886.26566386 21.3892765045166 21.12161636352539 0.0 0.0 0.0 -0.30298250032706237 0.9529961198743473
1560004886.29062867 21.388168334960938 21.11931037902832 0.0 0.0 0.0 -0.30250736244397325 0.9531470482917055
1560004886.31561184 21.386459350585938 21.113990783691406 0.0 0.0 0.0 -0.3021239706684705 0.9532686433254358
1560004886.34069967 21.38675308227539 21.119897842407227 0.0 0.0 0.0 -0.30271210587911557 0.9530820431391156
1560004886.36554170 21.38990020751953 21.119489669799805 0.0 0.0 0.0 -0.30301680913980844 0.9529852115215266
1560004886.39056873 21.386964797973633 21.11614227294922 0.0 0.0 0.0 -0.3021357890469344 0.9532648975898497
1560004886.41554070 21.38484001159668 21.11651039123535 0.0 0.0 0.0 -0.3020546503983268 0.9532906105552204
1560004886.44052076 21.386783599853516 21.11459732055664 0.0 0.0 0.0 -0.3022010165694693 0.9532442213747636
1560004886.46551371 21.388286590576172 21.114381790161133 0.0 0.0 0.0 -0.30208851525445923 0.953279879653062
1560004886.49050283 21.38353729248047 21.108915328979492 0.0 0.0 0.0 -0.301189944828089 0.9535641651899744
